img;x1;y1;x2;y2
00000.ppm;2;133;63;190
00000.ppm;86;135;104;152
00000.ppm;760;158;836;235
00000.ppm;88;163;133;206
00000.ppm;2;169;63;228
00000.ppm;825;230;846;250
00000.ppm;816;246;835;265
00000.ppm;796;257;812;275
00000.ppm;777;259;861;333
00000.ppm;662;296;744;381
00000.ppm;1302;308;1337;346
00000.ppm;608;329;697;418
00000.ppm;766;330;793;355
00000.ppm;718;332;734;350
00000.ppm;1282;336;1318;369
00000.ppm;1329;340;1344;357
00000.ppm;693;347;709;362
00000.ppm;761;351;793;379
00000.ppm;1271;355;1294;380
00000.ppm;743;360;764;381
00000.ppm;541;361;586;407
00000.ppm;1258;371;1304;411
00000.ppm;999;375;1047;417
00000.ppm;850;376;865;393
00000.ppm;808;377;865;441
00000.ppm;552;408;578;432
00000.ppm;776;414;809;445
00000.ppm;3;417;76;485
00000.ppm;813;418;832;435
00000.ppm;1266;423;1290;449
00000.ppm;87;424;163;506
00000.ppm;1268;428;1314;470
00000.ppm;485;443;521;479
00000.ppm;775;445;797;465
00000.ppm;781;465;797;481
00000.ppm;765;467;788;491
00000.ppm;479;471;517;514
00000.ppm;1319;473;1352;510
00000.ppm;475;475;547;555
00000.ppm;839;485;870;514
00000.ppm;1260;487;1285;509
00000.ppm;1255;488;1274;508
00000.ppm;1055;490;1083;522
00000.ppm;691;509;719;534
00000.ppm;54;513;130;587
00000.ppm;694;515;723;548
00000.ppm;760;158;845;235
00000.ppm;760;158;857;250
00000.ppm;766;259;861;355
00000.ppm;816;246;858;289
00000.ppm;1282;308;1337;369
00000.ppm;1268;428;1314;480
00000.ppm;1103;283;1255;444
00000.ppm;630;447;710;535
00000.ppm;799;308;846;353
00000.ppm;1103;283;1255;445
00000.ppm;1330;359;1358;388
00000.ppm;541;351;598;407
00000.ppm;1250;371;1323;449
00000.ppm;1250;371;1324;449
00000.ppm;1268;428;1320;480
00000.ppm;482;334;598;465
00000.ppm;2;87;62;145
00000.ppm;770;472;865;567
